kode_entitas;nama_entitas;sektor;subsektor;industri;subindustri;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;Jumlah_laba_rugi_sebelum_pajak_penghasilan;Jumlah_laba_rugi_dari_operasi_yang_dilanjutkan;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal;Jumlah_kenaikan_penurunan_bersih_kas_dan_setara_kas;Kas_dan_setara_kas_arus_kas_akhir_periode
ADMG;Polychem Indonesia Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B111. Basic Chemicals;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;82113507.0;121554714.0;203668221.0;23754846.0;8044261.0;31799107.0;216281813.0;0;58441593.0;171875328.0;171869114.0;203668221.0;-303094.0;457690.0;355873.0;355873.0;3153363.0;3147953.0;350635.0;5238.00.00;296016.0;11354939.0
ADMR;PT Adaro Minerals Indonesia Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;316529859.0;649172666.0;965702525.0;92427670.0;667830842.0;760258512.0;303919662.0;0;-183296159.0;202183616.0;205444013.0;965702525.0;240450292.0;201916864.0;156711652.0;156711652.0;156704827.0;155103810.0;155110738.0;1600914.0;139294436.0;180828189.0
ADRO;Adaro Energy Indonesia Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;;Ribuan / In Thousand;2838132.0;4748804.0;7586936.0;1361558.0;1767063.0;3128621.0;342940.0;0;1154494.0;4136780.0;4458315.0;7586936.0;1769746.0;1486251.0;1028593.0;1028593.0;1107105.0;1009826.0;933492.0;95101.0;638298.0;1811141.0
AGAR;PT Asia Sejahtera Mina Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15592.0;Satuan Penuh / Full Amount;132333523487.0;46856034197.0;179189557684.0;59410870171.0;11238294354.0;70649164525.0;100000000000.0;;5008083551.0;108540393159.0;108540393159.0;179189557684.0;33196098381.0;2165784223.0;1676533638.0;1676533638.0;1995003381.0;1995003381.0;1676533638.0;00.00;6815425708.0;8208762363.0
AGII;PT Samator Indo Gas Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B111. Basic Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;2044419.0;6120180.0;8164599.0;1979987.0;2601687.0;4581674.0;1533330.0;;368037.0;3523060.0;3582925.0;8164599.0;1231365.0;275898.0;211485.0;211485.0;214372.0;207038.0;204183.0;7302.00.00;403930.0;809094.0
AGRO;PT Bank Raya Indonesia Tbk;G. Financials;G1. Banks;G11. Banks;G111. Banks;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;16866522655.0;0;0;14408859476.0;2274652671.0;0;2943713773.0;2457663179.0;2457663179.0;0;0;-3303131348.0;-3045701407.0;-3045701407.0;-3069932805.0;-3069932805.0;-3045701407.0;0;-479040953.0;2140267174.0
AGRS;PT Bank IBK Indonesia Tbk.;G. Financials;G1. Banks;G11. Banks;G111. Banks;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;15567.5;Jutaan / In Million;0;0;14286910.0;0;0;11291328.0;1766649.0;0;808879.0;2997375.0;2995582.0;0;0;10065.0;12770.0;12770.0;3782.00.00;3782.00.00;12770.0;0;1287064.0;3609096.0
AHAP;Asuransi Harta Aman Pratama Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;666903762608.0;0;0;544767542250.0;147000000000.0;;79565500000.0;122136220358.0;122136220358.0;0;0;18379568965.0;15415671336.0;15415671336.0;16567070608.0;16567070608.0;15415671336.0;;-7895658034.0;5516122743.0
AIMS;Akbar Indomakmur Stimec Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A122. Coal Distribution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;5730850018.0;17811369506.0;23542219524.0;4833968127.0;3317941842.0;8151909969.0;11000000000.0;;4265565685.0;15390309555.0;15390309555.0;23542219524.0;3279052408.0;2282862162.0;2614731668.0;2614731668.0;2614731668.0;2614731668.0;2614731668.0;0;773477720.0;841995662.0
AISA;PT FKS Food Sejahtera Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D22. Processed Foods;D222. Processed Foods;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Jutaan / In Million;432800.0;1328834.0;1761634.0;720020.0;207857.0;927877.0;1902860.0;0;1317711.0;834996.0;833757.0;1761634.0;341066.0;14108.0;5762.00.00;5762.00.00;-16112.0;-16124.0;5751.00.00;11.00;-168423.0;58011.0
AKKU;PT Anugerah Kagum Karya Utama Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;37758012432.0;693031738617.0;730789751049.0;244161255472.0;16545747415.0;260707002887.0;644946363600.0;;29264760871.0;470082818672.0;470082748162.0;730789751049.0;3042974406.0;-121715591212.0;-121904486558.0;-121904486558.0;-121571534822.0;-121569816359.0;-121902768095.0;-1718463.0;343824029.0;6652542488.0
AKPI;Argha Karya Prima Ind. Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;1304656069.0;2031084290.0;3335740359.0;1162789501.0;709937444.0;1872726945.0;306124000.0;0;258138280.0;1463108591.0;1463013414.0;3335740359.0;344709186.0;221678190.0;147822236.0;147822236.0;164432855.0;164441640.0;147831251.0;-9015.0;-48809352.0;20051316.0
AKRA;PT AKR Corporindo Tbk.;A. Energy;A1. Oil, Gas & Coal;A11. Oil & Gas;A112. Oil & Gas Storage & Distribution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;12022678362.0;11485907374.0;23508585736.0;9306841393.0;2902779230.0;12209620623.0;401469492.0;0;1287163057.0;9345116329.0;11298965113.0;23508585736.0;2293159002.0;1436743040.0;1135001756.0;1135001756.0;1157728068.0;1125643337.0;1111613585.0;23388171.0;1052942245.0;2600492407.0
AKSI;PT Mineral Sumberdaya Mandiri Tbk;K. Transportation & Logistic;K2. Logistics & Deliveries;K21. Logistics & Deliveries;K211. Logistics & Deliveries;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;150043015990.0;125947692671.0;275990708661.0;83977625835.0;61284370702.0;145261996537.0;72000000000.0;0;14829959956.0;130362642601.0;130728712124.0;275990708661.0;88280189810.0;33356183267.0;24226913508.0;24226913508.0;24237598479.0;24171508576.0;24160668230.0;66245278.0;18457024596.0;87666978826.0
ALDO;Alkindo Naratama Tbk;B. Basic Materials;B1. Basic Materials;B13. Containers & Packaging;B131. Containers & Packaging;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;710233784991.0;500575657037.0;1210809442028.0;387942345634.0;119464534912.0;507406880546.0;131685602000.0;0;288054815665.0;697662406367.0;703402561482.0;1210809442028.0;294213455834.0;129768148235.0;100771009640.0;100771009640.0;100997339269.0;76039539697.0;75859019550.0;24911990090.0;71005141942.0;96169853081.0
ALKA;Alakasa Industrindo Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B141. Aluminum;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;488110333.0;11282720.0;499393053.0;368953409.0;1617122.0;370570531.0;73503957.0;0;200000.0;125330072.0;128822522.0;499393053.0;42510864.0;17262076.0;17445033.0;17445033.0;22657827.0;24025200.0;18812927.0;-1367894.0;66814910.0;248483874.0
ALMI;Alumindo Light Metal Industry Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B141. Aluminum;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;58924100.0;34885724.0;93809824.0;41756304.0;15330440.0;57086744.0;128658141.0;0;28067077.0;36723080.0;36723080.0;93809824.0;3269776.0;-4375688.0;37329.0;37329.0;36470.0;36470.0;37329.0;0;5546195.0;6367341.0
ALTO;Tri Banyan Tirta Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D21. Beverages;D212. Soft Drinks;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;189509211466.0;899699753909.0;1089208965375.0;232428387396.0;492944916895.0;725373304291.0;219187055800.0;0;306963031468.0;362220926006.0;363835661084.0;1089208965375.0;36061117806.0;-7254686643.0;-8932197718.0;-8932197718.0;-9047419256.0;-9011924370.0;-8899454736.0;-32742982.0;-8485033847.0;15903784073.0
AMAG;Asuransi Multi Artha Guna Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;4652817906.0;0;0;2793055857.0;500155252.0;0;263076098.0;1859762049.0;1859762049.0;0;0;161169331.0;149438469.0;149438469.0;108186948.0;108186948.0;149438469.0;0;-825690935.0;578794702.0
AMAN;PT Makmur Berkah Amanda Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;435816821.0;426072049.0;861888870.0;149061654.0;93516800.0;242578454.0;387350000.0;0;73893603.0;616194422.0;619310416.0;861888870.0;60861811.0;28936609.0;30282784.0;30282784.0;30195270.0;33436614.0;33524128.0;-3241344.0;28427792.0;55940779.0
AMAR;PT Bank Amar Indonesia Tbk.;G. Financials;G1. Banks;G11. Banks;G111. Banks;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;0;0;5203044896.0;0;0;4136460660.0;803510000.0;0;225757500.0;1066584236.0;1066584236.0;0;0;814543.0;4115012.0;4115012.0;-446539.0;-446539.0;4115012.0;0;170225772.0;1889417523.0
AMFG;Asahimas Flat Glass Tbk;C. Industrials;C1. Industrial Goods;C12. Building Products & Fixtures;C121. Building Products & Fixtures;National and Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;1906967.0;5496509.0;7403476.0;1927761.0;2182346.0;4110107.0;217000.0;0;165083.0;3293369.0;3293369.0;7403476.0;1096125.0;378799.0;318672.0;318672.0;363532.0;363532.0;318672.0;0;-167004.0;132175.0
AMIN;PT Ateliers Mecaniques D Indonesie Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;Individual Foreign, Non-Residential;Local Company - Indonesia Jurisdiction;31/01/23;Rupiah / IDR;;Satuan Penuh / Full Amount;205809889601.0;105686891137.0;311496780738.0;147961497672.0;17067331603.0;165028829275.0;108000000000.0;;7166500000.0;146467951463.0;146467951463.0;311496780738.0;26128187257.0;5731532517.0;3822455287.0;3822455287.0;5152078243.0;5152078243.0;3822455287.0;;1204656191.0;6798481354.0
AMMS;PT Agung Menjangan Mas Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;3719712233.0;43556759455.0;47276471688.0;654941370.0;488663990.0;1143605360.0;48000000000.0;0;0;46132866328.0;46132866328.0;47276471688.0;3195271609.0;811840080.0;680054050.0;680054050.0;713259262.0;713259262.0;680054050.0;0;375381669.0;3059744234.0
AMRT;PT Sumber Alfaria Trijaya Tbk.;D. Consumer Non-Cyclicals;D1. Food & Staples Retailing;D11. Food & Staples Retailing;D113. Supermarkets & Convenience Store;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;14211903.0;13158307.0;27370210.0;16376061.0;1566366.0;17942427.0;415245.0;0;2479828.0;9223300.0;9427783.0;27370210.0;17574627.0;2395909.0;1963050.0;1963050.0;1963027.0;1925060.0;1925874.0;37176.0;-602328.0;3269642.0
ANDI;PT Andira Agro Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;80917168328.0;401764183804.0;482681352132.0;57823359870.0;175592235234.0;233415595104.0;187000000000.0;;48929000000.0;249265757028.0;249265757028.0;482681352132.0;38169834395.0;-5628014552.0;-3121384649.0;-3121384649.0;-1417532188.0;-1417532188.0;-3121384649.0;;1086475188.0;9978623434.0
ANJT;PT Austindo Nusantara Jaya Tbk.;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;77799366.0;567407740.0;645207106.0;48778183.0;170572729.0;219350912.0;46735308.0;;50223609.0;423437573.0;425856194.0;645207106.0;97892257.0;55308706.0;36586954.0;36586954.0;33897230.0;34622084.0;36999882.0;-412928.0;11254299.0;27141425.0
ANTM;Aneka Tambang Tbk.;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B146. Diversified Metals & Minerals;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Jutaan / In Million;11728143.0;21188011.0;32916154.0;6562383.0;5516673.0;12079056.0;2403076.0;0;3934833.0;20837080.0;20837098.0;32916154.0;6359061.0;3043509.0;1861740.0;1861740.0;2199922.0;2199925.0;1861743.0;-3.0;1091243.0;5089160.0
APEX;Apexindo Pratama Duta Tbk;A. Energy;A1. Oil, Gas & Coal;A13. Oil, Gas & Coal Supports;A131. Oil & Gas Drilling Service;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;;Satuan Penuh / Full Amount;65351664.0;292398291.0;357749955.0;17294981.0;209234674.0;226529655.0;122030559.0;0;69879393.0;131220300.0;131220300.0;357749955.0;65155633.0;7082621.0;3656487.0;3656487.0;4513952.0;4513952.0;3656487.0;0;351556.0;13463925.0
APIC;PACIFIC STRATEGIC FINANCIAL Tbk;G. Financials;G5. Holding & Investment Companies;G51. Holding & Investment Companies;G511. Financial Holdings;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;5426377104468.0;510232135282.0;5936609239750.0;3402613717004.0;421527655203.0;3824141372207.0;1218638473800.0;0;43471495814.0;2031999494830.0;2112467867543.0;5936609239750.0;0;112587381009.0;102955189353.0;102955189353.0;151542083270.0;142956825792.0;98822851840.0;4132337513.0;429017318098.0;750002049346.0
APII;PT Arita Prima Indonesia Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;307335545064.0;234993540586.0;542329085650.0;165727263794.0;15134095961.0;180861359755.0;107576000000.0;0;33937353656.0;352307219844.0;361467725895.0;542329085650.0;144356267824.0;28665324729.0;28651080763.0;20672232124.0;24346731900.0;23128448376.0;19453658649.0;1218573475.0;8205466626.0;21566665738.0
APLI;Asiaplast Industries Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;173574832797.0;257705820867.0;431280653664.0;130517093483.0;69728790362.0;200245883845.0;136267140000.0;;-8407840449.0;231119825783.0;231034769819.0;431280653664.0;62930557016.0;25772333633.0;23227293962.0;23227293962.0;25043954153.0;25049433655.0;23232797736.0;-5503774.0;18014367164.0;58744257163.0
APLN;PT Agung Podomoro Land Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;11958891761.0;17652219432.0;29611111193.0;7314345544.0;11756987969.0;19071333513.0;2269932678.0;;1497343699.0;7814003839.0;10539777680.0;29611111193.0;1429315050.0;-301840223.0;-485227632.0;-485227632.0;-545652380.0;-711120731.0;-650359568.0;165131936.0;218460994.0;1062242703.0
ARCI;PT Archi Indonesia Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B143. Gold;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15371.0;Satuan Penuh / Full Amount;79159781.0;610537624.0;689697405.0;201424186.0;255685897.0;457110083.0;20350482.0;0;95790451.0;232669284.0;232587322.0;689697405.0;136490604.0;117281924.0;75068148.0;75068148.0;75590427.0;75692880.0;75175794.0;-107646.0;-27885523.0;12298872.0
ARGO;Argo Pantes Tbk;E. Consumer Cyclicals;E4. Apparel & Luxury Goods;E41. Apparel & Luxury Goods;E413. Textiles;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;127547246493.0;994832702813.0;1122379949306.0;1750956634924.0;657185413881.0;2408142048805.0;167778725000.0;;501545333000.0;-1285762099499.0;-1285762099499.0;1122379949306.0;-24957552209.0;-34216294061.0;-32071101375.0;-32071101375.0;-22490031890.0;-22490031890.0;-32071101375.0;;2063167775.0;2424346756.0
ARII;Atlas Resources Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Ribuan / In Thousand;75181.0;294289.0;369470.0;169323.0;161064.0;330387.0;69320.0;;90190.0;39593.0;39083.0;369470.0;21813.0;5385.00.00;918.00.00;918.00.00;845.00.00;-539.0;-478.0;1396.00.00;1662.00.00;2163.00.00
ARKA;PT Arkha Jayanti Persada Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;214632946185.0;248711040715.0;463343986900.0;157756994610.0;210598713486.0;368355708096.0;200000000000.0;0;63558268075.0;94988278804.0;94988278804.0;463343986900.0;10796235083.0;2972166406.0;3442039458.0;3442039458.0;3432077808.0;3432077808.0;3442039458.0;0;2613865.0;706000828.0
ARKO;PT Arkora Hydro Tbk.;J. Infrastructures;J4. Utilities;J41. Electric Utilities;J411. Electric Utilities;National Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;53834675996.0;634779070706.0;688613746702.0;167047861276.0;350540265194.0;517588126470.0;57990000000.0;0;92685000000.0;169939532756.0;171025620232.0;688613746702.0;109117173691.0;75470962895.0;49730343309.0;49730343309.0;50310798091.0;49488546872.0;48959115032.0;771228277.0;-9146993603.0;16168494520.0
ARNA;Arwana Citramulia Tbk;C. Industrials;C1. Industrial Goods;C12. Building Products & Fixtures;C121. Building Products & Fixtures;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;1450950591357.0;792572481446.0;2243523072803.0;604446106477.0;65907083849.0;670353190326.0;91767887200.0;0;5752421445.0;1548315059254.0;1573169882477.0;2243523072803.0;919128453234.0;609653614511.0;475983374390.0;475983374390.0;476481455874.0;471431563807.0;470902542490.0;5080831900.0;166658900287.0;602550379682.0
ARTA;Arthavest Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;93613030871.0;288735967254.0;382348998125.0;10698316124.0;9355550798.0;20053866922.0;89334835000.0;;1116892763.0;200750041261.0;362295131203.0;382348998125.0;32898358281.0;-10049696527.0;-11368936434.0;-11368936434.0;-11112576687.0;-1080091101.0;-1579192365.0;-9789744069.0;-3438520076.0;74092029437.0
