kode_entitas;nama_entitas;sektor;subsektor;industri;subindustri;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;Jumlah_laba_rugi_sebelum_pajak_penghasilan;Jumlah_laba_rugi_dari_operasi_yang_dilanjutkan;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal;Jumlah_kenaikan_penurunan_bersih_kas_dan_setara_kas;Kas_dan_setara_kas_arus_kas_akhir_periode
ADMG;Polychem Indonesia Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B111. Basic Chemicals;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;58105339.0;113894837.0;172000176.0;21395255.0;5342398.0;26737653.0;216281813.0;0;58441593.0;145269594.0;145262523.0;172000176.0;-10197443.0;-26638933.0;-26746256.0;-26746256.0;-26606591.0;-26605734.0;-26743893.0;-2363.0;-2964895.0;8539274.0
ADMR;PT Adaro Minerals Indonesia Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;646374336.0;640250428.0;1286624764.0;197034879.0;520282261.0;717317140.0;303919662.0;0;-183297630.0;534503876.0;569307624.0;1286624764.0;534914660.0;437793072.0;335738738.0;335738738.0;335851236.0;332321731.0;332210508.0;3528230.0;336589327.0;511382167.0
ADRO;Adaro Energy Indonesia Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;;Ribuan / In Thousand;5319309.0;5462998.0;10782307.0;2447512.0;1807457.0;4254969.0;342940.0;0;1154494.0;6024600.0;6527338.0;10782307.0;4652972.0;4476219.0;2831123.0;2831123.0;2922928.0;2584924.0;2493080.0;338043.0;2298743.0;4067358.0
AGAR;PT Asia Sejahtera Mina Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15592.0;Satuan Penuh / Full Amount;146496898223.0;52608061778.0;199104960001.0;81161628489.0;11143175279.0;92304803768.0;100000000000.0;;5008083551.0;106800124474.0;106800156233.0;199104960001.0;38800833115.0;-1840511359.0;-1922533742.0;-1922533742.0;-1740424293.0;-1740268685.0;-1922378134.0;-155608.0;17702975154.0;25911737517.0
AGII;PT Samator Indo Gas Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B111. Basic Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;1917368.0;6124621.0;8041989.0;1643446.0;2702569.0;4346015.0;1533330.0;;370273.0;3631453.0;3695974.0;8041989.0;1155516.0;138850.0;103896.0;103896.0;140733.0;136077.0;99338.0;4558.00.00;-172187.0;636907.0
AGRO;PT Bank Raya Indonesia Tbk;G. Financials;G1. Banks;G11. Banks;G111. Banks;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;13898775065.0;0;0;10509687783.0;2474010781.0;0;3734973042.0;3389087282.0;3389087282.0;0;0;116186080.0;11460505.0;11460505.0;-59169594.0;-59169594.0;11460505.0;0;-9894016.0;2130373160.0
AGRS;PT Bank IBK Indonesia Tbk.;G. Financials;G1. Banks;G11. Banks;G111. Banks;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;15567.5;Jutaan / In Million;0;0;18304587.0;0;0;14136322.0;2764954.0;0;906080.0;4170058.0;4168265.0;0;0;95152.0;103454.0;103454.0;77177.0;77177.0;103454.0;0;541875.0;4150971.0
AHAP;Asuransi Harta Aman Pratama Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;933279448053.0;0;0;723212184767.0;245000000000.0;;78178625152.0;210067263286.0;210067263286.0;0;0;-7050649823.0;-7469383207.0;-7469383207.0;-8682082224.0;-8682082224.0;-7469383207.0;;7481859796.0;12997982539.0
AIMS;Akbar Indomakmur Stimec Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A122. Coal Distribution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;11829343130.0;17479500000.0;29308843130.0;11143382967.0;2585225651.0;13728608618.0;11000000000.0;;4265565685.0;15580234512.0;15580234512.0;29308843130.0;3369671478.0;1050038887.0;189924957.0;189924957.0;189924957.0;189924957.0;189924957.0;0;1000877626.0;1842873288.0
AISA;PT FKS Food Sejahtera Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D22. Processed Foods;D222. Processed Foods;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Jutaan / In Million;558960.0;1267390.0;1826350.0;827907.0;220582.0;1048489.0;1902860.0;0;1317711.0;779093.0;777861.0;1826350.0;488538.0;-56487.0;-62359.0;-62359.0;-55896.0;-55903.0;-62366.0;07.00;29941.0;88661.0
AKKU;PT Anugerah Kagum Karya Utama Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;37407280817.0;688992427876.0;726399708693.0;283395918093.0;8615432734.0;292011350827.0;644946363600.0;;29264760871.0;434388773027.0;434388357866.0;726399708693.0;4553339574.0;-35507200031.0;-35756032073.0;-35756032073.0;-35694390296.0;-35694045645.0;-35755687422.0;-344651.0;-390665687.0;6261876801.0
AKPI;Argha Karya Prima Ind. Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;1377131024.0;2213413740.0;3590544764.0;1110996403.0;708082484.0;1819078887.0;306124000.0;0;258138280.0;1771581584.0;1771465877.0;3590544764.0;375021375.0;290817325.0;211687105.0;211687105.0;338452615.0;338473145.0;211697140.0;-10035.0;30905147.0;59315275.0
AKRA;PT AKR Corporindo Tbk.;A. Energy;A1. Oil, Gas & Coal;A11. Oil & Gas;A112. Oil & Gas Storage & Distribution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;15841294251.0;11346313785.0;27187608036.0;11280491593.0;2752305668.0;14032797261.0;401469492.0;0;1287163057.0;10968862687.0;13154810775.0;27187608036.0;4252413482.0;3085916786.0;2479059157.0;2479059157.0;2576003196.0;2452707915.0;2403334889.0;75724268.0;1479172922.0;4337980751.0
AKSI;PT Mineral Sumberdaya Mandiri Tbk;K. Transportation & Logistic;K2. Logistics & Deliveries;K21. Logistics & Deliveries;K211. Logistics & Deliveries;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;178893247612.0;187257783406.0;366151031018.0;118788125755.0;69674292615.0;188462418370.0;72000000000.0;0;14829959956.0;177162878822.0;177688612648.0;366151031018.0;109777025497.0;64419308505.0;46968832530.0;46968832530.0;46959900524.0;46800236221.0;46809308033.0;159524497.0;-1573775068.0;86093203758.0
ALDO;Alkindo Naratama Tbk;B. Basic Materials;B1. Basic Materials;B13. Containers & Packaging;B131. Containers & Packaging;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;714110899271.0;854696050916.0;1568806950187.0;508007638970.0;295630365080.0;803638004050.0;131685630900.0;0;285637468265.0;758960288347.0;765168946137.0;1568806950187.0;255410763706.0;84844590413.0;65764485236.0;65764485236.0;66638660947.0;66170158272.0;65304232607.0;460252629.0;-57394628557.0;40360274814.0
ALKA;Alakasa Industrindo Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B141. Aluminum;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;626370439.0;12582362.0;638952801.0;454365258.0;816700.0;455181958.0;73503957.0;0;200000.0;176187511.0;183770843.0;638952801.0;71282595.0;48544749.0;48041219.0;48041219.0;50891608.0;50857154.0;48007050.0;34169.0;176218531.0;427980949.0
ALMI;Alumindo Light Metal Industry Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B141. Aluminum;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;43135358.0;30446002.0;73581360.0;33987411.0;6035047.0;40022458.0;128658141.0;0;28067077.0;33558902.0;33558902.0;73581360.0;-1617648.0;-3505291.0;-3163350.0;-3163350.0;-3164178.0;-3164178.0;-3163350.0;0;-5810265.16;557075.84
ALTO;Tri Banyan Tirta Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D21. Beverages;D212. Soft Drinks;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;152626394141.0;870696914794.0;1023323308935.0;187318300982.0;487088847620.0;674407148602.0;219187055800.0;0;306963031468.0;347375699854.0;348916160333.0;1023323308935.0;33744453856.0;-6745242208.0;-16129026748.0;-16129026748.0;-14919500751.0;-14845226152.0;-16052018788.0;-77007960.0;-14530020358.0;1373763715.0
AMAG;Asuransi Multi Artha Guna Tbk;G. Financials;G4. Insurance;G41. Insurance;G412. General Insurance;Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;0;0;4705846343.0;0;0;3005509450.0;500155252.0;0;263076098.0;1700336893.0;1700336893.0;0;0;192812423.0;169774422.0;169774422.0;90414599.0;90414599.0;169774422.0;0;314357636.0;904187158.0
AMAN;PT Makmur Berkah Amanda Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;555826745.0;410282388.0;966109133.0;171816848.0;142010313.0;313827161.0;387350000.0;0;73893603.0;650511336.0;652281972.0;966109133.0;81229022.0;38962387.0;34531399.0;34531399.0;34908306.0;36253664.0;35889397.0;-1357998.0;42354857.0;97916583.0
AMAR;PT Bank Amar Indonesia Tbk.;G. Financials;G1. Banks;G11. Banks;G111. Banks;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Ribuan / In Thousand;0;0;4505045609.0;0;0;1328846199.0;1382037200.0;0;643340311.0;3176199410.0;3176199410.0;0;0;-202610192.0;-155381289.0;-155381289.0;-159155477.0;-159155477.0;-155381289.0;0;-431552173.0;1457865350.0
AMFG;Asahimas Flat Glass Tbk;C. Industrials;C1. Industrial Goods;C12. Building Products & Fixtures;C121. Building Products & Fixtures;National and Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;2392927.0;5073593.0;7466520.0;1986252.0;1760096.0;3746348.0;217000.0;0;165083.0;3720172.0;3720172.0;7466520.0;1446775.0;565840.0;437370.0;437370.0;461523.0;461523.0;437370.0;0;-25768.0;107248.0
AMIN;PT Ateliers Mecaniques D Indonesie Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;Individual Foreign, Non-Residential;Local Company - Indonesia Jurisdiction;31/01/23;Rupiah / IDR;;Satuan Penuh / Full Amount;219546498054.0;103506026937.0;323052524991.0;156573698247.0;12306707726.0;168880405973.0;108000000000.0;;7166500000.0;154172119018.0;154172119018.0;323052524991.0;30542829417.0;7763847928.0;7930228540.0;7930228540.0;7704167555.0;7704167555.0;7930228540.0;;21019250295.0;11981286240.0
AMMS;PT Agung Menjangan Mas Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D231. Fish, Meat, & Poultry;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;28581457380.0;41995364530.0;70576821910.0;1448613503.0;561712109.0;2010325612.0;60000000000.0;0;8826875000.0;68566496298.0;68566496298.0;70576821910.0;4940744033.0;1941753464.0;1620835000.0;1620835000.0;1606754970.0;1606754970.0;1620835000.0;0;22177467342.0;25237211576.0
AMRT;PT Sumber Alfaria Trijaya Tbk.;D. Consumer Non-Cyclicals;D1. Food & Staples Retailing;D11. Food & Staples Retailing;D113. Supermarkets & Convenience Store;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Jutaan / In Million;15664200.0;15082066.0;30746266.0;17389232.0;1886342.0;19275574.0;415245.0;0;2479828.0;11221527.0;11470692.0;30746266.0;20022444.0;3566789.0;2907478.0;2907478.0;2829841.0;2778057.0;2855284.0;52194.0;548959.0;3818601.0
ANDI;PT Andira Agro Tbk;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;77817661367.0;366392709035.0;444210370402.0;51320417645.0;154196044106.0;205516461751.0;187000000000.0;;48929000000.0;238693908651.0;238693908651.0;444210370402.0;22778631994.0;-12004143654.0;-10787670426.0;-10787670426.0;-10571848377.0;-10571848377.0;-10787670426.0;;5041592984.0;15020216418.0
ANJT;PT Austindo Nusantara Jaya Tbk.;D. Consumer Non-Cyclicals;D2. Food & Beverage;D23. Agricultural Products;D232. Plantations & Crops;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Satuan Penuh / Full Amount;59147966.0;543442508.0;602590474.0;40470085.0;138009199.0;178479284.0;46735308.0;;49890831.0;422005863.0;424111190.0;602590474.0;53871897.0;34507811.0;21155288.0;21155288.0;6109078.0;6872372.0;21721276.0;-565988.0;-16320701.0;10820724.0
ANTM;Aneka Tambang Tbk.;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B146. Diversified Metals & Minerals;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Jutaan / In Million;11694779.0;21942492.0;33637271.0;5971662.0;3953549.0;9925211.0;2403076.0;0;3934833.0;23712043.0;23712060.0;33637271.0;8210519.0;5214771.0;3820964.0;3820964.0;3805833.0;3805834.0;3820965.0;-1.0;-752871.0;4476491.0
APEX;Apexindo Pratama Duta Tbk;A. Energy;A1. Oil, Gas & Coal;A13. Oil, Gas & Coal Supports;A131. Oil & Gas Drilling Service;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;;Satuan Penuh / Full Amount;70713353.0;192253435.0;262966788.0;15239151.0;181329353.0;196568504.0;126840386.0;0;65069566.0;66398284.0;66398284.0;262966788.0;80976771.0;-81985918.0;-64740314.0;-64740314.0;-64822016.0;-64822016.0;-64740314.0;0;9334345.0;22798270.0
APIC;PACIFIC STRATEGIC FINANCIAL Tbk;G. Financials;G5. Holding & Investment Companies;G51. Holding & Investment Companies;G511. Financial Holdings;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;0;Satuan Penuh / Full Amount;6214837002678.0;642303240810.0;6857140243488.0;3905669375347.0;682925201286.0;4588594576633.0;1218638473800.0;0;43471495814.0;2183941749812.0;2268545666855.0;6857140243488.0;0;163126522313.0;156597454064.0;156597454064.0;156077799312.0;151942254982.0;152463283368.0;4134170696.0;-38840141138.0;711161908208.0
APII;PT Arita Prima Indonesia Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;Foreign Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;312339991473.0;252049048006.0;564389039479.0;174914078408.0;11797754957.0;186711833365.0;107576000000.0;0;33937353656.0;364183663332.0;377677206114.0;564389039479.0;158568781894.0;26841604043.0;26841604043.0;14054281418.0;13752237756.0;12462732853.0;12766514074.0;1287767344.0;-5850910716.0;15715755022.0
APLI;Asiaplast Industries Tbk;B. Basic Materials;B1. Basic Materials;B11. Chemicals;B113. Specialty Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;223008531561.0;245533351705.0;468541883266.0;124402291984.0;65184698379.0;189586990363.0;136267140000.0;;-8407840449.0;279050286209.0;278954892903.0;468541883266.0;109169610944.0;61233041557.0;46599136683.0;46599136683.0;47920123084.0;47930460426.0;46609418559.0;-10281876.0;49767634014.0;109067270347.0
APLN;PT Agung Podomoro Land Tbk.;H. Properties & Real Estate;H1. Properties & Real Estate;H11. Real Estate Management & Development;H111. Real Estate Development & Management;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Ribuan / In Thousand;11303386748.0;17314394993.0;28617781741.0;5771555207.0;10376665454.0;16148220661.0;2269932678.0;;1497343699.0;9611428236.0;12469561080.0;28617781741.0;4868163260.0;2581734223.0;2268910393.0;2268910393.0;2069947002.0;1797424397.0;1994917035.0;273993358.0;34065627.0;1099206717.0
ARCI;PT Archi Indonesia Tbk;B. Basic Materials;B1. Basic Materials;B14. Metals & Minerals;B143. Gold;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15371.0;Satuan Penuh / Full Amount;87174516.0;630641906.0;717816422.0;201502683.0;268558300.0;470060983.0;20350482.0;0;95790451.0;247837925.0;247755439.0;717816422.0;59530464.0;28573265.0;14536813.0;14536813.0;15168117.0;15168641.0;14550684.0;-13871.0;-1376772.0;10339434.0
ARGO;Argo Pantes Tbk;E. Consumer Cyclicals;E4. Apparel & Luxury Goods;E41. Apparel & Luxury Goods;E413. Textiles;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;135202707152.0;994281218820.0;1129483925972.0;1795164627629.0;716677882324.0;2511842509953.0;167778725000.0;;501545333000.0;-1382358583981.0;-1382358583981.0;1129483925972.0;-14538939461.0;-99490569271.0;-97329335486.0;-97329335486.0;-96596484482.0;-96596484482.0;-97329335486.0;;1204543650.0;3778243165.0
ARII;Atlas Resources Tbk;A. Energy;A1. Oil, Gas & Coal;A12. Coal;A121. Coal Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Dollar Amerika / USD;15731.0;Ribuan / In Thousand;144871.0;303854.0;448725.0;200819.0;177673.0;378492.0;73318.0;;91189.0;67038.0;70233.0;448725.0;56466.0;35831.0;26075.0;26075.0;26153.0;22448.0;22333.0;3742.00.00;2786.00.00;4756.00.00
ARKA;PT Arkha Jayanti Persada Tbk.;C. Industrials;C1. Industrial Goods;C14. Machinery;C143. Industrial Machinery & Components;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;270245886792.0;210338458308.0;480584345100.0;178847000007.0;200647918052.0;379494918059.0;200000000000.0;0;63558268075.0;101089427041.0;101089427041.0;480584345100.0;26200010147.0;6949950276.0;6110063988.0;6110063988.0;6101148237.0;6101148237.0;6110063988.0;0;8672454880.0;4773465077.0
ARKO;PT Arkora Hydro Tbk.;J. Infrastructures;J4. Utilities;J41. Electric Utilities;J411. Electric Utilities;National Corporation;Foreign Company;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;182777802654.0;765165430963.0;947943233617.0;160822460759.0;387109580939.0;547932041698.0;73212375000.0;0;253708206359.0;398897335781.0;400011191919.0;947943233617.0;127119439983.0;79795262735.0;52706845665.0;52706845665.0;52739990328.0;52712221666.0;52660421379.0;46424286.0;76548222090.0;92716716610.0
ARNA;Arwana Citramulia Tbk;C. Industrials;C1. Industrial Goods;C12. Building Products & Fixtures;C121. Building Products & Fixtures;National Corporation;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;;Satuan Penuh / Full Amount;1601724616560.0;977143998985.0;2578868615545.0;685894904063.0;59800354245.0;745695258308.0;91767887200.0;0;5752421445.0;1804073110104.0;1833173357237.0;2578868615545.0;1052716630479.0;746096093997.0;581557410601.0;581557410601.0;588522715180.0;582961991270.0;576213564285.0;5343846316.0;-164452470015.0;438360507463.0
ARTA;Arthavest Tbk;E. Consumer Cyclicals;E5. Consumer Services;E51. Tourism & Recreation;E512. Hotels, Resorts & Cruise Lines;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/22;Rupiah / IDR;15731.0;Satuan Penuh / Full Amount;88146193052.0;272583708173.0;360729901225.0;5955265981.0;8109463517.0;14064729498.0;89334835000.0;;1116892763.0;201586265862.0;346665171727.0;360729901225.0;44572691801.0;-1764103960.0;-301979149.0;-301979149.0;-929959476.0;836224601.0;1464204928.0;-1766184077.0;-1479252243.0;73775393988.0
